"Date","Price","Open","High","Low","Vol.","Change %"
"28-03-2025","258.64","257.10","267.95","257.00","6.88M","1.38%"
"27-03-2025","255.12","254.00","257.90","250.00","8.55M","0.53%"
"26-03-2025","253.78","237.90","262.40","237.70","15.77M","6.72%"
"25-03-2025","237.80","245.35","246.10","235.30","4.77M","-2.40%"
"24-03-2025","243.64","241.90","247.50","240.79","4.20M","1.73%"
"21-03-2025","239.50","237.60","245.67","236.84","5.17M","0.94%"
"20-03-2025","237.28","245.00","245.70","236.00","3.50M","-2.09%"
"19-03-2025","242.35","232.20","245.34","232.00","5.15M","5.12%"
"18-03-2025","230.55","222.00","234.23","221.00","5.37M","5.09%"
"17-03-2025","219.38","220.00","223.95","217.32","4.46M","0.43%"
"13-03-2025","218.44","222.40","225.25","216.01","2.37M","-0.86%"
"12-03-2025","220.33","228.00","230.45","218.85","3.08M","-2.47%"
"11-03-2025","225.91","228.89","231.40","222.55","4.79M","-1.66%"
"10-03-2025","229.72","239.90","243.70","227.30","3.51M","-4.02%"
"07-03-2025","239.35","235.01","247.90","231.10","10.05M","1.48%"
"06-03-2025","235.86","223.87","248.90","221.10","10.96M","7.40%"
"05-03-2025","219.60","207.20","221.39","207.20","4.05M","6.66%"
"04-03-2025","205.89","203.00","214.85","202.45","2.90M","-0.33%"
"03-03-2025","206.58","214.99","217.86","198.13","5.73M","-2.53%"
"28-02-2025","211.95","221.00","222.50","210.10","5.59M","-4.93%"
"27-02-2025","222.95","238.20","240.80","220.05","3.11M","-6.64%"
"25-02-2025","238.80","241.00","245.90","236.50","3.04M","-0.83%"
"24-02-2025","240.80","250.35","250.65","240.10","3.49M","-4.56%"
"21-02-2025","252.30","257.90","263.80","251.00","1.79M","-2.34%"
"20-02-2025","258.35","255.00","263.10","253.80","1.56M","0.82%"
"19-02-2025","256.25","245.00","263.70","244.00","3.38M","3.08%"
"18-02-2025","248.60","249.95","256.60","243.80","5.93M","1.74%"
"17-02-2025","244.35","236.00","252.00","229.55","7.15M","-2.32%"
